NS 100
PHF 7,-8,-1,4
ROOT 4472
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9965
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 7985
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8432
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9541
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 4472
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 7985
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9965
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 2472
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9521
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 5581
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 3581
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8412
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9965
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9965
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8412
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 2472
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9541
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 0078
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 5581
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8432
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8412
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 2472
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9541
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8098
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9965
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 4472
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 2472
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 0078
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8412
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8432
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9541
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9521
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 5581
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9521
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 3581
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 2472
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8432
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9965
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8412
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8432
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 3581
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 0078
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 9541
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 3581
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8432
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 8432
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 2472
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
ROOT 3581
UHF 3,6,-6,2
LHF -1,4,-4,-3
PHF 7,-8,-1,4
